direction,size_bytes,iteration,wall_seconds,cpu_seconds,cpu_percent,mb_per_second
ps_to_pl,256,0,0.0004915729996355367,0.0004614180000004353,93.86561107761025,0.5207771789536939
pl_to_ps,256,0,0.0011059299999942596,0.0010892130000001998,98.48842151002808,0.231479388389255
ps_to_pl,256,1,0.0004172339999968244,0.00040126500000070564,96.17265131886656,0.6135645704855032
pl_to_ps,256,1,0.0011291109999547189,0.0011132549999999242,98.59570937175968,0.22672704456007112
ps_to_pl,256,2,0.0004111470002499118,0.00039490400000019577,96.04934482317933,0.622648346806356
pl_to_ps,256,2,0.0011084829998253554,0.0010930209999990836,98.60512070742557,0.2309462572184991
ps_to_pl,256,3,0.0004100460000699968,0.00039315699999953324,95.88119380079783,0.6243201981150885
pl_to_ps,256,3,0.0011196929999641725,0.0011036520000011762,98.56737516770137,0.22863409881832913
ps_to_pl,256,4,0.00040881899985834025,0.00039370500000046604,96.30300943373196,0.6261939882654829
pl_to_ps,256,4,0.001102732000163087,0.00108691400000005,98.56556260626357,0.2321506947854413
ps_to_pl,1024,0,0.0013545259998863912,0.001332953999998665,98.40741337637407,0.7559840121827757
pl_to_ps,1024,0,0.004513039999892499,0.004454443000000197,98.70160690147445,0.2268980554181642
ps_to_pl,1024,1,0.0013772209999842744,0.0013583439999997893,98.62934126151862,0.743526275021723
pl_to_ps,1024,1,0.004383497999697283,0.004365197000000265,99.58250238283941,0.23360339164537444
ps_to_pl,1024,2,0.0013387100002546504,0.001320599999999672,98.64720512646254,0.7649154781881169
pl_to_ps,1024,2,0.006197682999754761,0.004386283000000546,70.77294853857657,0.16522303577651828
ps_to_pl,1024,3,0.0018078279999826918,0.0013961999999985153,77.23079850582481,0.5664255670394549
pl_to_ps,1024,3,0.00461463100009496,0.004461755999999539,96.6871674009845,0.2219028997072416
ps_to_pl,1024,4,0.0014510370001517003,0.0014289629999986175,98.47874312296825,0.7057021977337207
pl_to_ps,1024,4,0.004413328999817168,0.004391372000000615,99.5024844098987,0.23202439701241886
ps_to_pl,4096,0,0.005296576000091591,0.005269153000000415,99.48225041818145,0.7733297888917614
pl_to_ps,4096,0,0.01730410199979815,0.01728534600000131,99.89160951665069,0.23670688025577863
ps_to_pl,4096,1,0.005234073999872635,0.0052151229999992665,99.63793022655337,0.7825644039613638
pl_to_ps,4096,1,0.017333540999970865,0.017314595999998517,99.89070323269561,0.23630486119407942
ps_to_pl,4096,2,0.005173646999992343,0.005153254999999746,99.60584864037637,0.7917045751297029
pl_to_ps,4096,2,0.01735017000009975,0.017332500000000195,99.89815661691237,0.23607837848138957
ps_to_pl,4096,3,0.005182005999813555,0.005162091999999063,99.61570866928352,0.7904274908495613
pl_to_ps,4096,3,0.017323640000086016,0.01730569500000101,99.89641322444407,0.23643991678305842
ps_to_pl,4096,4,0.005205994000334613,0.005188110000000634,99.65647289772464,0.7867853861792257
pl_to_ps,4096,4,0.017367648999879748,0.017350096999999565,99.8989385386571,0.2358407865122309
ps_to_pl,8192,0,0.010395613000127923,0.010373386999999568,99.78619827298225,0.788024717724601
pl_to_ps,8192,0,0.03484600000001592,0.03468328100000129,99.53303392063778,0.2350915456579308
ps_to_pl,8192,1,0.010365888999785966,0.01034637799999949,99.81177687908023,0.7902843644350376
pl_to_ps,8192,1,0.03561194499980047,0.03559372699999841,99.9488430081475,0.23003517499664505
ps_to_pl,8192,2,0.010405800000171439,0.010386174999998943,99.81140325422194,0.7872532625905777
pl_to_ps,8192,2,0.034630833999926836,0.034611600999999936,99.944462787333,0.2365522008513369
ps_to_pl,8192,3,0.010338692000004812,0.01032018999999984,99.82104119162305,0.79236328928226
pl_to_ps,8192,3,0.03639453200003118,0.03541148799999938,97.29892391518881,0.22508875783848473
ps_to_pl,8192,4,0.01050935400007802,0.010487170999999407,99.78892137348834,0.7794960565548733
pl_to_ps,8192,4,0.03489646799971524,0.03487703499999917,99.94431241661411,0.234751551362357
